t_ms,ax,ay,az,gx,gy,gz
7680377,-0.020263671875,-0.0098876953125,0.9996337890625,1.77001953125,2.25830078125,3.23486328125
7680386,-0.0198974609375,-0.0087890625,1.0003662109375,1.953125,2.25830078125,3.173828125
7680395,-0.0191650390625,-0.0103759765625,1.0001220703125,2.01416015625,2.38037109375,3.11279296875
7680403,-0.0189208984375,-0.010498046875,0.9998779296875,2.197265625,2.25830078125,3.173828125
7680412,-0.017822265625,-0.01025390625,1.000244140625,2.13623046875,2.25830078125,3.11279296875
7680420,-0.0179443359375,-0.0108642578125,1.0,2.01416015625,2.0751953125,3.11279296875
7680430,-0.018310546875,-0.0106201171875,0.99951171875,2.13623046875,2.197265625,3.2958984375
7680437,-0.020263671875,-0.010986328125,0.9993896484375,2.13623046875,2.197265625,3.35693359375
7680446,-0.0196533203125,-0.0103759765625,1.000244140625,1.953125,2.3193359375,3.35693359375
7680454,-0.0218505859375,-0.0093994140625,0.999755859375,1.953125,2.25830078125,3.173828125
7680463,-0.021240234375,-0.01025390625,0.99951171875,2.0751953125,2.197265625,3.173828125
7680471,-0.0198974609375,-0.0106201171875,1.0001220703125,2.0751953125,2.3193359375,3.23486328125
7680480,-0.0201416015625,-0.0093994140625,1.0001220703125,2.01416015625,2.25830078125,3.23486328125
7680489,-0.020263671875,-0.009765625,0.998291015625,1.953125,2.25830078125,3.23486328125
7680497,-0.01904296875,-0.010009765625,0.998291015625,2.25830078125,2.3193359375,3.11279296875
7680506,-0.0189208984375,-0.0111083984375,0.998779296875,2.13623046875,2.25830078125,3.23486328125
7680514,-0.017822265625,-0.0113525390625,0.9990234375,2.0751953125,2.3193359375,3.173828125
7680523,-0.01806640625,-0.0103759765625,0.9996337890625,1.8310546875,2.38037109375,3.47900390625
7680531,-0.0194091796875,-0.0093994140625,1.0003662109375,1.953125,2.197265625,3.2958984375
7680540,-0.01953125,-0.0107421875,0.999755859375,1.953125,2.25830078125,3.173828125
7680548,-0.019775390625,-0.0098876953125,0.9990234375,1.953125,2.197265625,3.173828125
7680558,-0.0208740234375,-0.0101318359375,0.9993896484375,2.01416015625,2.197265625,3.173828125
7680565,-0.0206298828125,-0.0111083984375,0.998291015625,1.953125,2.197265625,3.23486328125
7680574,-0.0205078125,-0.01171875,0.999267578125,1.89208984375,2.197265625,3.173828125
7680582,-0.019775390625,-0.011962890625,0.9989013671875,1.953125,2.197265625,3.173828125
7680591,-0.0201416015625,-0.0113525390625,0.9984130859375,2.01416015625,2.25830078125,3.23486328125
7680600,-0.0201416015625,-0.01123046875,0.999267578125,2.01416015625,2.3193359375,3.35693359375
7680608,-0.0201416015625,-0.010498046875,1.0,2.01416015625,2.3193359375,3.23486328125
7680617,-0.0191650390625,-0.010498046875,1.0001220703125,2.01416015625,2.197265625,3.173828125
7680625,-0.0194091796875,-0.009521484375,0.9984130859375,1.953125,2.0751953125,3.173828125
7680634,-0.0189208984375,-0.0101318359375,0.9993896484375,1.89208984375,2.3193359375,3.11279296875
7680642,-0.0198974609375,-0.01025390625,0.9990234375,2.0751953125,2.25830078125,3.2958984375
7680651,-0.0181884765625,-0.0107421875,0.9990234375,1.953125,2.3193359375,3.23486328125
7680659,-0.0194091796875,-0.0096435546875,0.9989013671875,1.953125,2.197265625,3.173828125
7680668,-0.0201416015625,-0.0091552734375,1.0001220703125,1.89208984375,2.0751953125,3.11279296875
7680676,-0.0198974609375,-0.009765625,0.999755859375,2.197265625,2.197265625,3.23486328125
7680686,-0.021240234375,-0.01025390625,0.9996337890625,1.953125,2.197265625,3.23486328125
7680693,-0.0198974609375,-0.0107421875,1.0,2.0751953125,2.13623046875,3.2958984375
7680702,-0.0201416015625,-0.009521484375,0.9989013671875,2.01416015625,2.13623046875,3.173828125
7680710,-0.0194091796875,-0.0111083984375,0.99951171875,1.89208984375,2.3193359375,3.173828125
7680719,-0.0196533203125,-0.0111083984375,0.9990234375,1.953125,2.3193359375,3.41796875
7680728,-0.01953125,-0.0107421875,1.0001220703125,2.01416015625,2.44140625,3.173828125
7680736,-0.018310546875,-0.0101318359375,0.999267578125,2.197265625,2.3193359375,3.173828125
7680745,-0.0184326171875,-0.0115966796875,0.999755859375,2.25830078125,2.197265625,3.0517578125
7680753,-0.0194091796875,-0.0093994140625,0.9998779296875,2.13623046875,2.197265625,3.11279296875
7680762,-0.0194091796875,-0.0101318359375,0.999755859375,2.0751953125,2.25830078125,3.35693359375
7680770,-0.0186767578125,-0.010009765625,0.999755859375,1.953125,2.197265625,3.23486328125
7680779,-0.01904296875,-0.0111083984375,1.0,2.13623046875,2.25830078125,3.35693359375
7680788,-0.0191650390625,-0.0106201171875,0.9996337890625,2.13623046875,2.38037109375,3.173828125
7680796,-0.0194091796875,-0.0115966796875,0.9996337890625,2.0751953125,2.25830078125,3.11279296875
7680805,-0.019287109375,-0.009765625,1.0001220703125,2.0751953125,2.197265625,3.0517578125
7680814,-0.020263671875,-0.0101318359375,0.9991455078125,2.01416015625,2.197265625,3.11279296875
7680822,-0.020263671875,-0.0096435546875,0.999755859375,2.01416015625,2.3193359375,3.173828125
7680830,-0.01953125,-0.009765625,0.9996337890625,2.01416015625,2.197265625,3.23486328125
7680839,-0.018798828125,-0.0091552734375,0.9993896484375,2.01416015625,2.13623046875,3.0517578125
7680848,-0.019287109375,-0.010986328125,0.9990234375,2.0751953125,2.197265625,3.11279296875
7680856,-0.01904296875,-0.0113525390625,0.999755859375,1.953125,2.25830078125,3.11279296875
7680864,-0.019287109375,-0.01123046875,0.999267578125,2.01416015625,2.25830078125,3.23486328125
7680873,-0.019775390625,-0.01123046875,0.9989013671875,1.953125,2.25830078125,3.23486328125
7680881,-0.0205078125,-0.0107421875,0.998779296875,2.01416015625,2.13623046875,3.173828125
7680890,-0.0198974609375,-0.00927734375,1.000244140625,1.953125,2.0751953125,3.2958984375
7680898,-0.0198974609375,-0.009033203125,1.0,2.0751953125,2.13623046875,3.173828125
7680907,-0.02001953125,-0.0096435546875,0.999755859375,2.13623046875,2.197265625,3.0517578125
7680916,-0.0179443359375,-0.0093994140625,0.999267578125,2.0751953125,2.25830078125,3.23486328125
7680926,-0.0185546875,-0.0108642578125,0.999755859375,1.953125,2.25830078125,3.23486328125
7680933,-0.0167236328125,-0.0101318359375,1.0001220703125,1.89208984375,2.197265625,3.2958984375
7680942,-0.0184326171875,-0.010986328125,0.9996337890625,2.01416015625,2.197265625,3.23486328125
7680950,-0.0186767578125,-0.0108642578125,0.9993896484375,2.0751953125,2.3193359375,3.173828125
7680958,-0.0189208984375,-0.0111083984375,0.9990234375,2.13623046875,2.13623046875,3.23486328125
7680967,-0.0198974609375,-0.0113525390625,0.9989013671875,1.953125,2.3193359375,3.173828125
7680976,-0.0206298828125,-0.0115966796875,0.9996337890625,1.953125,2.25830078125,3.23486328125
7680984,-0.021484375,-0.0108642578125,0.9996337890625,2.0751953125,2.13623046875,3.11279296875
7680993,-0.02099609375,-0.0106201171875,0.999755859375,2.13623046875,2.0751953125,3.23486328125
7681001,-0.0203857421875,-0.009521484375,0.9993896484375,2.13623046875,2.197265625,3.173828125
7681010,-0.0196533203125,-0.009521484375,1.00048828125,2.01416015625,2.3193359375,3.11279296875
